LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ZIP CODE,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE DATE
13390,5994,1495000,5,ANNADALE                 ,1,6475,85, ,A3,10312,2002,1, A3 ,7/28/2015
6180,4808,975000,5,ANNADALE                 ,1,6370,4, ,A3,10312,1990,1, A3 ,11/20/2015
13406,4180,1199000,5,ANNADALE                 ,1,5394,4, ,A2,10312,1982,1, A2 ,8/26/2015
8000,4011,865000,5,ANNADALE                 ,1,6222,54, ,A1,10312,2000,1, A1 ,1/12/2015
30000,4000,470000,5,ANNADALE                 ,1,6499,40, ,A1,10312,1985,1, A1 ,4/30/2015
6000,3800,752500,5,ANNADALE                 ,1,6360,5, ,A9,10312,1988,1, A9 ,3/20/2015
6000,3608,770000,5,ANNADALE                 ,1,6366,49, ,A1,10312,1975,1, A1 ,2/4/2015
20000,3550,1170000,5,ANNADALE                 ,1,6517,58, ,A3,10312,1989,1, A3 ,12/3/2015
7600,3490,1200000,5,ANNADALE                 ,1,6452,1, ,A3,10312,1997,1, A3 ,9/29/2015
20000,3140,980000,5,ANNADALE                 ,1,6517,59, ,A3,10312,1989,1, A3 ,12/3/2015
10000,3120,885000,5,ANNADALE                 ,1,6305,145, ,A1,10312,1985,1, A1 ,11/5/2015
10120,3000,955000,5,ANNADALE                 ,1,5397,51, ,A1,10312,1985,1, A1 ,12/18/2015
9900,3000,999999,5,ANNADALE                 ,1,6369,20, ,A1,10312,1986,1, A1 ,2/17/2015
1920,2685,572500,5,ANNADALE                 ,1,6367,9, ,A1,10312,1991,1, A1 ,2/11/2015
1722,2646,465000,5,ANNADALE                 ,1,6475,531, ,A5,10312,2011,1, A5 ,7/22/2015
3960,2642,609500,5,ANNADALE                 ,1,6365,6, ,A1,10312,1980,1, A1 ,12/10/2015
6200,2550,710000,5,ANNADALE                 ,1,6378,73, ,A1,10312,1975,1, A1 ,9/1/2015
3200,2500,870000,5,ANNADALE                 ,1,6353,40, ,A1,10312,1992,1, A1 ,5/26/2015
4000,2500,590000,5,ANNADALE                 ,1,6401,52, ,A1,10312,1997,1, A1 ,6/19/2015
8000,2389,768778,5,ANNADALE                 ,1,6259,14, ,A3,10312,2014,1, A3 ,5/27/2015
5400,2376,595000,5,ANNADALE                 ,1,6212,28, ,A1,10312,1970,1, A1 ,12/8/2015
4167,2300,590000,5,ANNADALE                 ,1,6253,4, ,A1,10312,1990,1, A1 ,5/26/2015
